0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
181,11059,217,326,82448,2380,1543,518,645,442,356,689,1508,1745926,4844,4810,1171,8017,1989,2141,1562,2949,2559,4701,8669,6275,666,5966,1064,1025,2648,23273,327,3002,14953,24530,930
182,12445,273,755,2349,2473,983,687,244,5790,401,1001,555,2270,2819,5288,4883,1853,2946,11567,1608,3109,5527,1784,593,953,1387,1071,996,4853,20289,21850,1559,1069,7484,1226,691
654,632,265,552,2012,2338,1416,497,688,365,393,416,555,2330,2611,5175,2568,8438,1771,2209,2754,1180,9741,365,1328,717,4610,11908,1003,564,1131,5590,1504,811,7249,831,3204
265,283,603,418,2149,2193,1519,527,638,398,383,691,1317,2286,1524,328,5072,3052,2734,2484,1390,10014,10405,5627,5441,450,794,6309,33663,2651,36897,23755,6134,91602,3567,979,699
-1,13046,720,326,2610,2185,1533,861,3481,399,352,840,557,1038,618,620,860,595,1868,2300,2995,2966,10424,6403,1051,1946,3664,6356,1108,2839,5071,22336,5573,604,9290,11329,904
-1,48572,11779,550,2212,2309,1437,490,569,434,395,404,614,1624,2739,4586,1322,944,638,2245,2366,7525,5022,5351,1690,1033,2116,1776,1071,562,38580,21980,39749,70872,851,1962,9812
-1,527,674,456,2336,2369,614,527,683,402,383,347,1238,2613,7411,1030,5452,5418,2155,2283,2198,2739,333,379,5163,15661,7893,5736,1143,574,1290,23609,5962,777,7000,1106,1300
-1,586,265,716,364,2162,1996,851,4094,360,361,368,580,708,2749,4920,4821,8377,2165,2292,900,2903,679,1917,2486,629,1314,1066,1078,24290,19817,22443,41960,87024,17710,23528,1301
-1,286,358,345,2321,2451,1515,493,1752,380,410,373,722,2543,2424,3376,4519,1451,1873,2792,2262,12680,12062,5450,2128,2315,539,5779,1076,1937,1153,25449,761,375,3674,1492,1522
-1,41591,320,248,2428,2197,1534,529,4086,356,1517,376,648,3739,2781,5094,4563,1518,13205,1551,4428,879,9838,391,2055,646,793,5859,3140,548,1038,22137,38343,8995,9438,1159,1291
-1,505,359,260,2178,2185,1455,590,688,767,1469,647,717,1814,2457,338,4449,1582,2049,2102,2104,1195,6302,1872,1747,687,966,5534,999,1095,1144,24200,52773,59754,9402,609,863
